fy,full_sample,typen,n_borrowers,tot_bal,r_typen2,r_typen4,r_typen6,mn_tot_bal,md_tot_bal,alt_cdr2,alt_cdr3,alt_cdr5,replicate_cdr3,fract_repaid,f5_tot_bal,mn_f5_tot_bal,md_f5_tot_bal,agg_fract_repaid,cpi_adj
1999,1,,310,8033,.029,.483,.488,25931,18377,.016,.025,.037,.023,.256,6808,21975,11656,.152,.753413
2000,1,,334,8971,.033,.467,.5,26858,18794,.016,.023,.034,.022,.259,7541,22578,12122,.159,.77168
2001,1,,335,9717,.041,.465,.493,29041,19253,.014,.021,.032,.019,.236,8339,24923,13589,.142,.779909
2002,1,,347,10094,.045,.459,.496,29118,19192,.012,.019,.03,.017,.19,9003,25970,15112,.108,.796383
2003,1,,369,10641,.061,.459,.48,28840,18869,.013,.022,.032,.02,.165,9669,26207,15899,.091,.811654
2004,1,,432,12324,.08,.441,.479,28539,18857,.014,.021,.032,.019,.161,11219,25978,16331,.09,.834702
2005,1,,648,20328,.087,.444,.469,31394,20677,.009,.016,.026,.013,.111,19492,30102,19427,.041,.858669
2006,1,,732,19499,.103,.423,.474,26653,18883,.011,.019,.032,.016,.123,18233,24922,16021,.065,.876992
2007,1,,566,11865,.131,.385,.484,20975,15580,.018,.029,.051,.025,.141,10834,19153,12074,.087,.906824
2008,1,,665,14855,.125,.371,.504,22336,17744,.017,.03,.055,.025,.162,13190,19833,12751,.112,.910217
2009,1,,986,24960,.149,.365,.486,25326,19815,.019,.029,.051,.025,.152,22085,22408,14707,.115,.929017
2010,1,,889,24463,.141,.367,.492,27509,19927,.017,.03,,.024,,,,,,.941916
2011,1,,1017,28966,.15,.37,.48,28477,20366,.018,.028,,.024,,,,,,.965479
2012,1,,1057,32648,.15,.38,.47,30888,21982,.017,,,.022,,,,,,.980216
2013,1,,1031,33690,.153,.378,.469,32684,22705,,,,,,,,,,.992323
2014,1,,1045,35817,.157,.373,.47,34261,23889,,,,,,,,,,1
1999,,2,9,265,,,,29648,20124,.021,.029,.049,.027,.153,259,29050,15036,.023,.753413
2000,,2,11,278,,,,25410,18879,.037,.048,.062,.044,.212,254,23266,13299,.086,.77168
2001,,2,14,384,,,,27780,19445,.016,.033,.042,.027,.193,356,25775,15548,.073,.779909
2002,,2,16,391,,,,24968,19109,.016,.029,.064,.021,.16,356,22740,15589,.09,.796383
2003,,2,23,566,,,,24962,18533,.029,.043,.056,.034,.114,533,23507,14867,.058,.811654
2004,,2,35,778,,,,22538,18328,.032,.045,.072,.038,.122,720,20884,15048,.075,.834702
2005,,2,57,1368,,,,24197,18708,.024,.033,.052,.03,.098,1282,22671,16333,.063,.858669
2006,,2,75,1671,,,,22267,18717,.024,.04,.063,.034,.074,1612,21485,16280,.035,.876992
2007,,2,74,1586,,,,21355,17178,.034,.057,.098,.047,.052,1559,20994,15140,.017,.906824
2008,,2,83,1900,,,,22835,19141,.034,.057,.098,.046,.041,1891,22727,16496,.005,.910217
2009,,2,147,3395,,,,23128,20128,.033,.049,.081,.04,.026,3411,23233,17414,-.005,.929017
2010,,2,125,3291,,,,26338,20696,.031,.05,,.04,,,,,,.941916
2011,,2,153,4134,,,,27090,21013,.035,.05,,.044,,,,,,.965479
2012,,2,159,4864,,,,30580,23413,.029,,,.037,,,,,,.980216
2013,,2,158,5079,,,,32142,24367,,,,,,,,,,.992323
2014,,2,164,5514,,,,33678,25718,,,,,,,,,,1
1999,,4,150,3180,,,,21255,14956,.019,.028,.041,.027,.266,2639,17638,9515,.17,.753413
2000,,4,156,3469,,,,22241,15817,.018,.025,.036,.024,.262,2868,18385,10116,.173,.77168
2001,,4,156,3759,,,,24140,16442,.014,.021,.032,.019,.238,3206,20588,11516,.147,.779909
2002,,4,159,4032,,,,25348,16874,.012,.02,.031,.017,.204,3540,22255,12272,.122,.796383
2003,,4,169,4375,,,,25858,17050,.012,.02,.03,.019,.182,3927,23214,13523,.102,.811654
2004,,4,190,4856,,,,25499,17254,.016,.022,.031,.02,.175,4363,22910,13878,.102,.834702
2005,,4,287,8269,,,,28770,19107,.009,.016,.024,.013,.118,7918,27547,17302,.042,.858669
2006,,4,310,7504,,,,24244,17000,.01,.016,.028,.014,.133,6947,22445,14063,.074,.876992
2007,,4,218,4141,,,,19033,13367,.018,.028,.045,.026,.168,3720,17098,10311,.102,.906824
2008,,4,247,5023,,,,20342,15592,.017,.028,.051,.024,.199,4314,17471,10808,.141,.910217
2009,,4,360,8451,,,,23471,17251,.017,.027,.049,.023,.196,7149,19856,12113,.154,.929017
2010,,4,327,8401,,,,25717,17211,.016,.029,,.023,,,,,,.941916
2011,,4,377,10082,,,,26761,17887,.018,.027,,.024,,,,,,.965479
2012,,4,401,11565,,,,28807,19694,.017,,,.022,,,,,,.980216
2013,,4,390,11850,,,,30406,20664,,,,,,,,,,.992323
2014,,4,390,12455,,,,31910,21923,,,,,,,,,,1
1999,,6,151,4589,,,,30336,21873,.013,.022,.032,.019,.252,3910,25848,14586,.148,.753413
2000,,6,167,5224,,,,31262,21418,.012,.02,.03,.018,.26,4419,26447,14383,.154,.77168
2001,,6,165,5574,,,,33770,22521,.013,.02,.031,.018,.238,4777,28943,16219,.143,.779909
2002,,6,172,5671,,,,32984,21129,.011,.018,.027,.016,.18,5107,29703,17645,.099,.796383
2003,,6,177,5700,,,,32186,20854,.012,.021,.031,.019,.156,5209,29413,18648,.086,.811654
2004,,6,207,6691,,,,32337,21059,.01,.016,.026,.014,.155,6135,29652,19047,.083,.834702
2005,,6,304,10692,,,,35219,24325,.007,.012,.022,.01,.106,10293,33906,22342,.037,.858669
2006,,6,347,10324,,,,29751,19533,.009,.016,.028,.013,.125,9673,27875,17983,.063,.876992
2007,,6,274,6138,,,,22415,16992,.013,.023,.043,.019,.143,5555,20287,12922,.095,.906824
2008,,6,335,7932,,,,23683,18580,.013,.025,.049,.021,.164,6985,20856,13564,.119,.910217
2009,,6,479,13114,,,,27394,21003,.016,.025,.043,.021,.157,11525,24074,15909,.121,.929017
2010,,6,438,12771,,,,29180,21188,.014,.024,,.02,,,,,,.941916
2011,,6,488,14750,,,,30235,21509,.013,.021,,.018,,,,,,.965479
2012,,6,496,16218,,,,32669,23112,.012,,,.017,,,,,,.980216
2013,,6,483,16761,,,,34699,25167,,,,,,,,,,.992323
2014,,6,491,17847,,,,36323,26386,,,,,,,,,,1
